# VFX v1 -> v2 API coverage map. One line per v1 endpoint.
#   STATUS  VERB  /route   # Controller.Action
# STATUS: covered | gap | omit | oos   (see tools/api_drift.py header)
# Regenerate with: python3 tools/api_drift.py genmap
# The drift gate (`check`) fails if any live v1 endpoint is missing here.

oos     GET    /adjapi/adjv1                                                 # ADJV1Controller.Get
oos     GET    /adjapi/adjv1/getadjinfo                                      # ADJV1Controller.GetAdjInfo
oos     GET    /adjapi/adjv1/getconsensusbroadcasttx                         # ADJV1Controller.GetConsensusBroadcastTx
oos     GET    /adjapi/adjv1/getdups                                         # ADJV1Controller.GetDups
oos     GET    /adjapi/adjv1/getfortisbroadcasttx                            # ADJV1Controller.GetFortisBroadcastTx
oos     GET    /adjapi/adjv1/getmasternodes                                  # ADJV1Controller.GetMasternodes
oos     GET    /adjapi/adjv1/getmasternodessent                              # ADJV1Controller.GetMasternodesSent
oos     GET    /bcapi/bcv1/addbeacon/{name}/{port}/{**ip}                    # BCV1Controller.AddBeacon
oos     GET    /bcapi/bcv1/createbeacon/{name}/{isprivate}/{autodelete}/{filecacheperiod}/{port} # BCV1Controller.CreateBeacon
oos     GET    /bcapi/bcv1/decodebeaconlocator/{**locator}                   # BCV1Controller.DecodeBeaconLocator
oos     GET    /bcapi/bcv1/deletebeacon/{id}                                 # BCV1Controller.DeleteBeacon
oos     GET    /bcapi/bcv1/getassetquestcomplete                             # BCV1Controller.GetAssetQuestComplete
oos     GET    /bcapi/bcv1/getassetqueue                                     # BCV1Controller.GetAssetQueue
oos     GET    /bcapi/bcv1/getbeaconassets/{scuid}/{locators}/{address}/{**signature} # BCV1Controller.GetBeaconAssets
oos     GET    /bcapi/bcv1/getbeaconinfo                                     # BCV1Controller.GetBeaconInfo
oos     GET    /bcapi/bcv1/getbeaconrequest                                  # BCV1Controller.GetBeaconRequest
oos     GET    /bcapi/bcv1/getbeacons                                        # BCV1Controller.GetBeacons
oos     GET    /bcapi/bcv1/getdeleteassetqueue/{id}                          # BCV1Controller.GetDeleteAssetQueue
oos     GET    /bcapi/bcv1/getdeleteassetqueueall                            # BCV1Controller.GetDeleteAssetQueueAll
oos     GET    /bcapi/bcv1/getdeletebeaconrequest/{id}                       # BCV1Controller.GetDeleteBeaconRequest
oos     GET    /bcapi/bcv1/getdeletebeaconrequestall                         # BCV1Controller.GetDeleteBeaconRequestAll
oos     GET    /bcapi/bcv1/setbeaconstate                                    # BCV1Controller.SetBeaconState
omit    GET    /btcapi/btcv2                                                 # BTCV2Controller.Get -- API banner; not part of curated v2 surface
covered GET    /btcapi/btcv2/broadcast/{txhash}                              # BTCV2Controller.Broadcast
covered GET    /btcapi/btcv2/calculatefee/{faddr}/{taddr}/{amt}/{feerate}    # BTCV2Controller.CalculateFee
covered GET    /btcapi/btcv2/createadnr/{address}/{btcaddress}/{name}        # BTCV2Controller.CreateAdnr
covered GET    /btcapi/btcv2/deleteadnr/{btcfromaddress}                     # BTCV2Controller.DeleteAdnr
covered GET    /btcapi/btcv2/getaddresstxlist/{address}                      # BTCV2Controller.GetAddressTXList
covered GET    /btcapi/btcv2/getaddressutxolist/{address}                    # BTCV2Controller.GetAddressUTXOList
covered GET    /btcapi/btcv2/getallvbtcbalances/{address}                    # BTCV2Controller.GetvBTCBalance
covered GET    /btcapi/btcv2/getbitcoinaccount/{address}/{omitkeys?}         # BTCV2Controller.GetBitcoinAccount
covered GET    /btcapi/btcv2/getbitcoinaccountlist/{omitkeys?}               # BTCV2Controller.GetBitcoinAccountList
covered GET    /btcapi/btcv2/getbitcointxlist/{includetokens?}               # BTCV2Controller.GetBitcoinTXList
covered GET    /btcapi/btcv2/getdefaultaddresstype                           # BTCV2Controller.GetDefaultAddressType
covered GET    /btcapi/btcv2/getdefaultimagebase                             # BTCV2Controller.GetDefaultImageBase
covered GET    /btcapi/btcv2/getelectrumxstate                               # BTCV2Controller.GetElectrumXState
covered GET    /btcapi/btcv2/getlastaccounysync                              # BTCV2Controller.GetLastAccounySync
covered GET    /btcapi/btcv2/getnewaddress                                   # BTCV2Controller.GetNewAddress
covered GET    /btcapi/btcv2/gettokenizationdetails/{vfxaddress}             # BTCV2Controller.GetTokenizationDetails
covered GET    /btcapi/btcv2/gettokenizedbtclist                             # BTCV2Controller.GetTokenizedBTCList
covered GET    /btcapi/btcv2/getvbtcbalance/{address}/{scuid}                # BTCV2Controller.GetvBTCBalance
covered GET    /btcapi/btcv2/importprivatekey/{privatekey}/{addressformat?}  # BTCV2Controller.ImportPrivateKey
covered GET    /btcapi/btcv2/rebroadcast/{txid}                              # BTCV2Controller.Rebroadcast
covered GET    /btcapi/btcv2/replacebyfee/{txid}/{feerate}                   # BTCV2Controller.ReplaceByFee
covered GET    /btcapi/btcv2/resetaccount                                    # BTCV2Controller.ResetAccount
covered GET    /btcapi/btcv2/sendtransaction/{faddr}/{taddr}/{amt}/{feerate}/{overrideinternalsend?} # BTCV2Controller.SendTransaction
covered GET    /btcapi/btcv2/syncstatus                                      # BTCV2Controller.SyncStatus
covered POST   /btcapi/btcv2/tokenizebitcoin                                 # BTCV2Controller.TokenizeBitcoin
covered GET    /btcapi/btcv2/transferadnr/{toaddress}/{btcfromaddress}/{btctoaddress} # BTCV2Controller.TransferAdnr
covered POST   /btcapi/btcv2/transfercoin                                    # BTCV2Controller.TransferCoin
covered POST   /btcapi/btcv2/transfercoinmulti                               # BTCV2Controller.TransferCoinMulti
covered GET    /btcapi/btcv2/transferownership/{scuid}/{toaddress}           # BTCV2Controller.TransferOwnership
covered GET    /btcapi/btcv2/transferownership/{scuid}/{toaddress}/{**backupurl} # BTCV2Controller.TransferOwnership
covered POST   /btcapi/btcv2/withdrawalcoin                                  # BTCV2Controller.WithdrawalCoin
covered POST   /btcapi/btcv2/withdrawalcoinrawtx                             # BTCV2Controller.WithdWithdrawalCoinRawTXrawalCoin
omit    GET    /dstapi/dstv1                                                 # DSTV1Controller.Get
covered GET    /dstapi/dstv1/cancellisting/{listingid}                      # DSTV1Controller.CancelListing
covered GET    /dstapi/dstv1/checkpingshop/{pingid}                         # DSTV1Controller.CheckPingShop
covered GET    /dstapi/dstv1/clearpingrequest                               # DSTV1Controller.ClearPingRequest
omit    GET    /dstapi/dstv1/completenftpurchase/{keysign}/{**scuid}         # DSTV1Controller.CompleteNFTPurchase
omit    GET    /dstapi/dstv1/connecttodecshop/{address}/{**url}              # DSTV1Controller.ConnectToDecShop
omit    GET    /dstapi/dstv1/debug                                           # DSTV1Controller.Debug
omit    GET    /dstapi/dstv1/debugdata                                       # DSTV1Controller.DebugData
covered GET    /dstapi/dstv1/deletechatmessages/{**key}                     # DSTV1Controller.DeleteChatMessages
covered GET    /dstapi/dstv1/deletecollection/{collectionid}                # DSTV1Controller.DeleteCollection
covered GET    /dstapi/dstv1/deletelisting/{listingid}                      # DSTV1Controller.DeleteListing
omit    GET    /dstapi/dstv1/getallcollections                               # DSTV1Controller.GetAllCollections
covered GET    /dstapi/dstv1/getauctionbylisting/{listingid}                # DSTV1Controller.GetAuctionByListing
covered GET    /dstapi/dstv1/getbids/{sendreceive}                          # DSTV1Controller.GetBids
covered GET    /dstapi/dstv1/getbidsbystatus/{bidstatus}/{sendreceive}      # DSTV1Controller.GetBidsByStatus
covered GET    /dstapi/dstv1/getcollection/{collectionid}                   # DSTV1Controller.GetCollection
covered GET    /dstapi/dstv1/getcollectionlistings/{collectionid}           # DSTV1Controller.GetCollectionListings
omit    GET    /dstapi/dstv1/getconnections                                  # DSTV1Controller.GetConnections
omit    GET    /dstapi/dstv1/getdecshop                                      # DSTV1Controller.GetDecShop
omit    GET    /dstapi/dstv1/getdecshopbyurl/{**url}                         # DSTV1Controller.GetDecShopByURL
omit    GET    /dstapi/dstv1/getdecshopdata                                  # DSTV1Controller.GetDecShopData
